raw_word;naive_trans;spec_trans;
truss - трусс; en - трусс
chamonix - чамоних; en - чеймоникс
esteban - эстебан; en - эстебан
britt - бритт; en - бритт
hitch-hiker - хитч-хикер; en - хитч-хикер
lazartigue - лазартигуе; en - лейзартигю
gioseppo - гиосеппо; fra - жиозеппо
lane - лане; fra - лан
belt - белт; en - бельт
manie - мание; en - менай
jil - джил; en - джиль
armata - армата; en - армейта
gerone - героне; fra - жерон
wunder - вундер; en - вундер
aunts & - аунтс; en - онц
loretta - лоретта; fra - лоретта
prim by michelle - прим би мичелле; en - прим би мичельл
simmons - симмонс; en - симмонс
minkoff - минкофф; en - минкофф
save the - саве те; en - сейв зе
east - еаст; en - ист
leonor - леонор; en - линор
1911 - 1911; en - 1911
murphy - мурфи; en - мурпи
natalia - наталиа; en - нейтейлиа
come - cоме; fra - ком
chipie - чипие; en - чипай
kira - кира; fra - кира
padovan - падован; en - пейдован
dei marmi - деи марми; en - деи марми
collette by collette - cоллетте би cоллетте; fra - коллетт би коллетт
veggetti - веггетти; fra - вегжетти
strategia - стратегиа; en - стрейтеджиа
caftan - cафтан; en - кафтан
jasmine - джасмине; en - джасмин
filling - филлинг; en - фильлинг
clara - cлара; en - клейра
venturino - вентурино; en - вентюрино
fabio - фабио; en - фейбио
alberta - алберта; en - альберта
vinciane stouvenaker - винcиане стоувенакер; ita - винчиане стоувенакер
c.malandrino - cмаландрино; en - кмейландрино
ilaria - илариа; en - илейриа
boclet - боcлет; en - боклет
comey - cомей; en - коми
acqua di - аcква ди; fra - акква ди
monrow - монров; en - монроу
paint - паинт; en - паинт
bijoux - биджоух; ger - бийоукс
derek - дерек; en - дерек
porsche - порше; ita - порске
sold - солд; en - сольд
originals by - оригиналс би; en - ориджинальс би
millen - миллен; en - мильлен
carolee - cаролее; en - кейроле
giambattista - гиамбаттиста; fra - жиамбаттиста
ren - рен; en - рен
orchid - орчид; en - орчид
skandia - скандиа; en - скандиа
almadal - алмадал; en - альмейдаль
greyl - греил; en - гриль
judith - джудит; en - джюдис
uniforms for the - униформс фор те; en - юниформс фор зе
rabanne - рабанне; en - рейбанн
nove - нове; fra - нов
preen - преен; en - прин
louer - лоуер; ger - лоуер
theodent - теодент; en - зеодент
sforza - сфорза; ita - сфорца
maxmara - махмара; en - максмейра
x marina - х марина; en - кс мейрина
yummy - йумми; en - йумми
achour - ачоур; ger - ахоур
cutler - cутлер; en - кутлер
joshua - джошуа; en - джошуа
alan - алан; en - алан
by polina - би полина; fra - би полина
byblos - библос; en - библос
azrouel - азроуел; ger - азроуел
genius - гениус; en - джениус
twinset simona - твинсет симона; en - твинсет симона
messer - мессер; en - мессер
mantoux - мантоух; ger - мантоукс
ricarda - риcарда; en - рикарда
thakoon - такоон; en - сейкун
vibration - вибратион; en - вибрашен
williamson - виллиамсон; en - вильлиамсон
richly - ричли; en - ричли
allegra - аллегра; fra - аллегра
shirt - ширт; en - ширт
victoria victoria - виcториа виcториа; en - викториа викториа
minna - минна; en - минна
h`d`s`n - хдсн; en - хдсн
yolke - йолке; en - йольк
peter - петер; en - петер
michele - мичеле; en - мичел
barba - барба; en - барба
sordo - сордо; en - сордо
brian - бриан; en - бриан
eton - этон; en - этон
santini - сантини; en - сантини
lilly - лилли; en - лильли
bond - бонд; en - бонд
pour - поур; ger - поур
penhaligon's - пенхалигонс; en - пенейлигонс
richard j - ричард дж; en - ричард дж
swimwear - свимвеар; en - свимвир
arctic - арcтиc; en - арктик
denny - денни; en - денни
by collette - би cоллетте; fra - би коллетт
rails - раилс; en - раильс
comi - cоми; fra - коми
flowers - фловерс; en - флоуерс
mabrun - мабрун; en - мабрун
n21#kartell - н21картелл; en - н21картельль
eshaya - эшая; en - эшейа
alfredo - алфредо; en - альфредо
ruban - рубан; en - рюбан
salvatelli - салвателли; fra - салвателли
andreyanova - андреянова; en - андрианова
summerhit - суммерхит; en - суммерит
avant - авант; en - авант
caponi - cапони; fra - капони
aperlai - аперлаи; en - аперлаи
ortigni - ортигни; en - ортигни
neri - нери; fra - нери
repeats - репеатс; en - репиц
aecawhite - аеcавхите; en - аековит
fabio gavazzi - фабио гаваззи; fra - фабио гаваззи
laurence - лауренcе; en - льоренс
los - лос; en - лос
gordon - гордон; en - гордон
ben taverniti unravel - бен тавернити унравел; en - бен тейвернити юнрейвель
stora - стора; en - стора
my beauty - ми беаути; ger - ми беаути
maison martin - маисон мартин; en - маизон мартин
dorothee - доротее; en - дорозе
phillip - филлип; en - пильлип
by marco - би марcо; en - би марко
frame - фраме; en - фрейм
bertoni - бертони; en - бертони
if only was - иф онли вас; en - иф онли вас
emfasi - эмфаси; en - эмфейзи
comme des - cомме дес; en - комм дес
persona by - персона би; en - персона би
lago - лаго; fra - лаго
pucci - пуccи; fra - пукки
originals by alexander - оригиналс би алехандер; en - ориджинальс би александер
cole - cоле; fra - коле
goar - гоар; en - гор
micallef - миcаллеф; en - миколлеф
fabio gavazzi for - фабио гаваззи фор; ita - фабио гавацци фор
leombruni - леомбруни; en - лимбрюни
burlon kids - бурлон кидс; en - бурлон кидс
gigi - гиги; fra - жижи
gentle - гентле; en - джентл
sunuva - сунува; fra - сунува
elisa - элиса; en - элиза
umka - умка; en - юмка
perofil - перофил; en - перофиль
ainea - аинеа; en - аини
zac - заc; en - зак
monnalisa - монналиса; en - моннейлиза
sarah - сарах; en - сейрах
doriani - дориани; en - дориани
gufo - гуфо; fra - гуфо
no21 - но21; en - но21
linardaki - линардаки; en - линардейки
raquel - раквел; ger - раквел
zanaria - занариа; en - зейнейриа
milan - милан; en - милан
mail - маил; en - маиль
oxs rubber - охс руббер; en - оксс руббер
scissor - скиссор; en - ссиссор
onway - онвай; en - онвей
roka - рока; fra - рока
silvano - силвано; en - сильвейно
rimondi - римонди; en - римонди
cardin - cардин; en - кардин
histoires - хистоирес; en - хистоирес
the elder - те элдер; en - зе эльдер
mellizos - меллизос; en - мельлизос
marina - марина; fra - марина
bonfanti - бонфанти; en - бонфанти
galanti - галанти; en - гейланти
sud - суд; en - суд
club by la - cлуб би ла; ger - клуб би ла
oh my - ох ми; en - ох ми
kub0raum - куб0раум; en - куб0ром
zasport - заспорт; en - заспорт
p.r.lauren - прлаурен; en - прльорен
m.mati - ммати; en - ммейти
kasha - каша; en - каша
eight & - еигхт; en - еигт
coompol - cоомпол; en - кумполь
philosophy - философи; en - пилозопи
dacade - даcаде; fra - дакад
kurkdjian - куркдджиан; en - куркдджиан
delpozo - делпозо; en - дельпозо
sb-26 - сб-26; en - сб-26
fanti - фанти; en - фанти
giorgio - гиоргио; en - джиорджио
gosoaky - госоаки; en - гозоаки
athena - атена; en - азена
gavriel - гавриел; en - гавриль
item - итем; en - итем
moka da - мока да; fra - мока да
amiri - амири; en - амири
castaner by manolo - cастанер би маноло; en - кастейнер би меноло
kors - корс; en - корс
united colors - унитед cолорс; en - юнитед колорс
flavio - флавио; en - флейвио
royalties - роялтиес; en - рояльтис
voyage - вояге; en - воядж
sander - сандер; en - сандер
120% - 120; en - 120
xxx - ххх; en - кскскс
l.g.b. - лгб; en - льгб
didone - дидоне; fra - дидон
diane von - диане вон; en - диан вон
intropia - интропиа; en - интропиа
uma - ума; en - юма
torriani - торриани; fra - торриани
prps - прпс; en - прпс
uniche - униче; en - юнич
scotland - скотланд; en - скотланд
eugenia - еугениа; en - евджениа
nervure - нервуре; en - нервюр
zadig - задиг; en - зейдиг
parfumeur - парфумеур; ger - парфумойр
christian - чристиан; en - чристиан
imec - имеc; en - имек
pyo - пио; en - пио
declare - деcларе; en - деклейр
schimmel - шиммел; ita - скиммель
fiftyseven - фифтисевен; en - фифтизевен
sam - сам; en - сам
tardia - тардиа; en - тардиа
eugenie - еугение; en - евдженай
samantha - саманта; en - саменза
desa - деса; fra - деза
stalgert - сталгерт; en - стальджерт
profmax - профмах; en - профмакс
piccione.piccione - пиccионепиccионе; fra - пиккионепиккион
reebok x - реебок х; en - рибок кс
maurizzio - мауриззио; fra - мауриззио
simona - симона; fra - симона
des garcons - дес гарcонс; en - дес гарконс
virtuale fur - виртуале фур; en - виртуал фур
davidian - давидиан; en - дейвидиан
baobab - баобаб; en - баобаб
ppcm - ппcм; en - ппкм
philisophy - филисофи; en - пилизопи
ladyvostok - ладивосток; en - лейдивосток
lerner - лернер; en - лернер
mastermind - мастерминд; en - мастерминд
bittar - биттар; en - биттар
wharf - вхарф; en - варф
bernardaud - бернардауд; en - бернардод
180 by jean - 180 би джеан; en - 180 би джин
ormonde - ормонде; en - ормонд
f.r.s - фрс; en - фрс
hollywood - холливоод; en - хольливуд
vesperini - весперини; en - весперини
rossa - росса; fra - росса
shoji - шоджи; en - шоджи
children fashion - чилдрен фашион; en - чильдрен фашен
due - дуе; en - дю
minna parikka - минна парикка; en - минна пейрикка
fleur du - флеур ду; ger - флойр ду
haider - хаидер; en - хаидер
probst - пробст; ita - пробст
pantanetti - пантанетти; fra - пантанетти
bui - буи; en - бюи
arabia - арабиа; en - арейбиа
cavalli - cавалли; fra - кавалли
meng - менг; en - менг
gritti - гритти; fra - гритти
i'm isola - им исола; en - им изола
barbara i - барбара и; en - барбейра и
marc by - марc би; en - марк би
burch - бурч; en - бурч
a.ferretti - аферретти; fra - аферретти
tyoulip - тюлип; en - тюлип
ricardo - риcардо; en - рикардо
by manolo - би маноло; fra - би маноло
matthew - маттев; en - матзью
by alexander - би алехандер; en - би александер
oamc - оамc; en - оамк
d'angelo - дангело; en - дэнджело
by jean - би джеан; en - би джин
camiceria - cамиcериа; en - камайсриа
for all - фор алл; en - фор ол
comme des garcons - cомме дес гарcонс; en - комм дес гарконс
diane - диане; en - диан
chantecaille - чантеcаилле; fra - шантекелле
by thornton - би торнтон; en - би сорнтон
litkovskaya - литковская; en - литковскейа
morato - морато; fra - морато
windsor - виндсор; en - виндсор
edited by - эдитед би; en - эдитед би
smedley - смедлей; en - смедли
attilio - аттилио; fra - аттилио
mischka - мишка; ita - мискка
eberhart - эберхарт; en - эберарт
bregazzi - брегаззи; fra - брегаззи
hunting - хунтинг; en - хунтинг
cashmere - cашмере; en - кашмер
marc & - марc; en - марк
& yoni - йони; en - йони
herrera - херрера; fra - херрера
montelpare - монтелпаре; en - монтельпейр
stussy - стусси; en - стусси
bianchi - бианчи; en - бианчи
primordial - примордиал; en - примордиаль
tadashi shoji - тадаши шоджи; en - тейдаши шоджи
max mara spx - мах мара спх; en - макс мейра спкс
liu - лиу; en - лиу
anderson - андерсон; en - андерсон
paciotti - паcиотти; fra - пакиотти
helmut - хелмут; en - хельмут
vince - винcе; en - винс
staud - стауд; en - стод
dice - диcе; fra - дик
copains - cопаинс; en - копаинс
2me - 2ме; en - 2м
madpax - мадпах; en - мадпакс
cult - cулт; en - культ
burlon - бурлон; en - бурлон
styling - стилинг; en - стилинг
frenchy - френчи; en - френчи
uemura - уемура; en - ьюмюра
kid - кид; en - кид
krivda - кривда; en - кривда
jack & - джак; en - джак
mastercraft - мастерcрафт; en - мастеркрафт
180g by nicolas - 180г би ниcолас; en - 180г би николас
sorry - сорри; en - сорри
angel s - ангел с; en - энджел с
designers - десигнерс; en - дезигнерс
pringle - прингле; en - прингл
turnbull - турнбулл; en - турнбульль
colette - cолетте; fra - колетт
molecules - молеcулес; ger - молекулес
professor - профессор; en - профессор
jasmine di - джасмине ди; fra - жасмин ди
bric`s - бриcс; en - брикс
ferrante - ферранте; fra - феррант
chevallier - чеваллиер; en - чеволлир
behr - бехр; en - бехр
sacai - саcаи; en - сейкаи
kane - кане; fra - кан
knt - кнт; en - кнт
bos - бос; en - бос
diego - диего; en - диго
orlebar - орлебар; en - орлебар
innocence - инноcенcе; en - инносенс
berlin - берлин; en - берлин
marysia - марисиа; en - мейризиа
gcds - гcдс; en - гкдс
filles a - филлес а; ger - филлес а
dome - доме; fra - дом
simon - симон; en - симон
ghc - гхc; en - гк
jc de - джc де; ger - йк де
acoola - аcоола; en - акула
rocca - роccа; fra - рокка
jackie - джакие; en - джакай
ciana - cиана; en - сиана
tadashi - тадаши; en - тейдаши
unlabel - унлабел; en - юнлейбель
natural kangra - натурал кангра; en - натюраль кангра
bilancioni - биланcиони; en - билансиони
manzoni - манзони; ita - манцони
santoni edited - сантони эдитед; en - сантони эдитед
dalood - далоод; en - дейлуд
tfk the - тфк те; en - тфк зе
plein - плеин; en - плеин
leo - лео; en - ли
rrl - ррл; en - ррль
by juicy - би джуиcи; en - би джюиси
teen - теен; en - тин
frou - фроу; ger - фроу
pal - пал; en - паль
schmitt - шмитт; ita - скмитт
restless - рестлесс; en - рестлесс
oil - оил; en - оиль
by sonia - би сониа; en - би сониа
preston - престон; en - престон
vinciane - винcиане; en - винсиан
sage - саге; fra - саж
editor - эдитор; en - эдитор
redoute - редоуте; ger - редоуте
cohen - cохен; en - кохен
geo - гео; en - джи
rivieras - ривиерас; en - ривирас
rubinacci - рубинаccи; fra - рубинакки
spider-man - спидер-ман; en - спидер-мен
terzian - терзиан; ita - терциан
f66 - ф66; en - ф66
pamela - памела; fra - памела
nars - нарс; en - нарс
fred - фред; en - фред
vic - виc; en - вик
fogal - фогал; en - фогаль
amen - амен; en - амен
st.barth - стбарт; en - стбарс
quinn - квинн; en - квинн
marco de - марcо де; fra - марко де
coyotes - cоиотес; en - коиотес
zileri - зилери; fra - зилери
lil pour - лил поур; ger - лил поур
nor - нор; en - нор
wip - вип; en - вип
pleasure - плеасуре; en - пльисюр
boyy - боии; en - боии
warhol - вархол; en - вороль
kidston - кидстон; ita - кидстон
thornton - торнтон; en - сорнтон
rue du - руе ду; fra - рью ду
uniforms for - униформс фор; en - юниформс фор
picariello - пиcариелло; fra - пикариелло
bartlett - бартлетт; en - бартлетт
biani - биани; en - биани
hide&jack - хидеджак; en - хидеджак
rubik - рубик; en - рюбик
ricci - риccи; fra - рикки
peekaboo - пеекабоо; en - пикейбу
loris - лорис; en - лорис
packham - пакхам; en - пакам
rivieras leisure - ривиерас леисуре; en - ривирас леизюр
murphy & - мурфи; en - мурпи
barbieri - барбиери; en - барбири
artselab - артселаб; en - арцелаб
turnbull & - турнбулл; en - турнбульль
polina - полина; fra - полина
kiehl - киехл; en - кихль
sage and - саге анд; fra - саж анд
riccardo - риccардо; fra - риккардо
moda - мода; fra - мода
morpho&luna - морфолуна; en - морполюна
keepers - кееперс; en - киперс
webster - вебстер; ita - вебстер
khrisjoy - кхрисджой; en - крисджои
ready to - реади то; fra - реади то
madden - мадден; en - мадден
roberi - робери; fra - робери
zengarini - зенгарини; en - зенгейрини
cuoio - cуоио; ger - куоио
pacifique - паcификве; ger - пакификве
miguel - мигуел; en - мигьюль
anglomania - англоманиа; en - англомениа
frescobol - фрескобол; en - фрескоболь
knot - кнот; en - кнот
fran - фран; en - фран
mestieri - местиери; en - местири
eduard - эдуард; en - эдуард
paladini - паладини; fra - паладини
schouler - шоулер; ger - шоулер
rocha j - роча дж; en - роча дж
selezneva - селезнева; ita - селезнева
blaue - блауе; ger - блауе
bogs - богс; en - богс
semonin - семонин; en - семонин
robinson les - робинсон лес; ger - робинзон лес
overcome - оверcоме; en - оверком
dolfie - долфие; en - дольфай
luisa - луиса; en - люиза
cirri_cirri - cирриcирри; fra - киррикирри
zimmerli - зиммерли; en - зиммерли
karl - карл; en - карль
nickelodeon - никелодеон; en - никелодин
petriglia - петриглиа; en - петриглиа
hoffman - хоффман; en - хоффмен
alena - алена; en - алена
jenny - дженни; en - дженни
jazz - джазз; ita - жацц
gianantonio - гианантонио; en - джианантонио
rag - раг; en - раг
genie - гение; en - дженай
donatella - донателла; fra - донателла
franchi - франчи; en - франчи
pasotti - пасотти; fra - пазотти
nununu - нунуну; fra - нунуну
yeah - йеах; en - йих
industries - индустриес; en - индустрис
l.b.m - лбм; en - льбм
hadid - хадид; en - хейдид
margot - маргот; en - маргот
dales - далес; ger - далес
pellettieri di - пеллеттиери ди; fra - пеллеттиери ди
walk of - валк оф; en - вальк оф
jour le - джоур ле; ger - йоур ле
costume - cостуме; en - костюм
icons - иcонс; en - иконс
marcoliani - марcолиани; en - марколиани
cuddly socks - cуддли сокс; en - куддли сокс
eleven - элевен; en - элевен
roberto del - роберто дел; en - роберто дель
karssen - карссен; en - карссен
brothers black - бротерс блак; en - брозерс блэк
l&company los - лcомпани лос; en - лькомпейни лос
paez - паез; en - паез
woman - воман; en - вомен
nicholas - ничолас; en - ничолас
particulier - партиcулиер; en - партикюлир
f.r.s for restless - фрс фор рестлесс; en - фрс фор рестлесс
sonia - сониа; en - сониа
cedric - cедриc; en - седрик
cristina - cристина; en - кристина
parikka - парикка; en - пейрикка
twool - твоол; en - твуль
zipit - зипит; en - зипит
paloma - палома; fra - палома
barth - барт; en - барс
dirk - дирк; en - дирк
boris bidjan - борис бидджан; en - борис бидджан
trenino - тренино; en - тренино
castori - cастори; en - кастори
1961 - 1961; en - 1961
furs - фурс; en - фурс
murat - мурат; en - мюрат
marchand - марчанд; en - марчанд
manna - манна; en - менна
femme by michele - фемме би мичеле; en - фемм би мичел
jourden - джоурден; ger - йоурден
viadeste - виадесте; en - виадест
180g by - 180г би; en - 180г би
manuel - мануел; en - меньюль
addicted - аддиcтед; en - аддиктед
by ralph - би ралф; en - би ральф
jennifer - дженнифер; en - дженнифер
juicy by juicy - джуиcи би джуиcи; en - джюиси би джюиси
ghost - гхост; en - гост
deborah - деборах; en - деборах
chopard - чопард; en - чопард
cavallini - cаваллини; fra - каваллини
ferto - ферто; en - ферто
r.j.brown - рджбровн; en - рджброун
fashion for - фашион фор; en - фашен фор
severi - севери; fra - севери
lerre - лерре; fra - лерр
lengling - ленглинг; en - ленглинг
manetti - манетти; fra - манетти
fur - фур; en - фур
bordelle - борделле; fra - борделле
roth - рот; en - рос
charlier - чарлиер; en - чарлир
garcons shirt - гарcонс ширт; en - гарконс ширт
maralex - маралех; en - мейрейлекс
collezioni - cоллезиони; fra - коллезиони
karen - карен; en - кейрен
cividini - cивидини; fra - кивидини
sophia webster - софиа вебстер; ita - сопхиа вебстер
natayakim - натаяким; en - натейейким
carine - cарине; fra - карин
yamamoto - ямамото; en - йамеймото
affex - аффех; en - аффекс
fitzgerald - фитзгералд; ita - фитцджералд
b3.0 - б30; en - б30
elder - элдер; en - эльдер
plain - плаин; en - плаин
fabi - фаби; fra - фаби
doucal's - доуcалс; ger - доукалс
bardot - бардот; en - бардот
elie - элие; en - элай
arlotta - арлотта; fra - арлотта
amuleti - амулети; en - амюлети
kiok - киок; en - киок
mastermind x - мастерминд х; en - мастерминд кс
donna - донна; en - донна
weill - веилл; en - веильль
mrz - мрз; ita - мрц
souliers - соулиерс; ger - зоулирс
barbed - барбед; en - барбед
teatro - театро; en - титро
germano - германо; en - джермено
evidens - эвиденс; en - эвиденс
d'exterior - дехтериор; en - декстериор
belotti - белотти; fra - белотти
eyewear - еиевеар; en - иьюир
sonia by sonia - сониа би сониа; en - сониа би сониа
nancy - нанcи; en - нанси
boadicea the - боадиcеа те; en - боадайса зе
m.i.h - мих; en - мих
ben taverniti - бен тавернити; en - бен тейвернити
temptation - темптатион; en - темпташен
azzaro - аззаро; fra - аззаро
bianca - бианcа; en - бианка
paris frou - парис фроу; ger - парис фроу
goose deluxe - гоосе делухе; fra - гооз делюкс
massimino - массимино; fra - массимино
10 crosby derek - 10 cросби дерек; en - 10 кросби дерек
smalto - смалто; en - смальто
lisa - лиса; fra - лиза
fracap - фраcап; en - фрейкап
howlin - ховлин; en - хоулин
buscemi - бускеми; en - буссеми
virtuale - виртуале; en - виртуал
erickson - эриксон; en - эриксон
gina & - гина; fra - жина
bennet - беннет; en - беннет
brandon - брандон; en - брандон
constantine - cонстантине; ita - константине
andrew - андрев; en - андрью
bartley - бартлей; en - бартли
vest - вест; en - вест
zadorina - задорина; fra - задорина
stuart - стуарт; en - стуарт
jarmon - джармон; en - джармон
officine - оффиcине; en - оффисин
annick - анник; en - анник
children - чилдрен; en - чильдрен
guendalina - гуендалина; en - гьюндейлина
matie - матие; en - мейтай
+ aitor - аитор; en - аитор
key - кей; en - ки
jo no - джо но; fra - жо но
pietro - пиетро; en - питро
d`oro - доро; fra - доро
rrel - ррел; en - ррель
they new - тей нев; en - зеи нью
alice and - алиcе анд; en - альайс анд
rucoline - руcолине; fra - руколин
lil - лил; en - лиль
of new - оф нев; en - оф нью
hearst - хеарст; ita - хеарст
homers at - хомерс ат; en - хомерс ат
frankie - франкие; en - франкай
chrome - чроме; en - чром
fleece - флееcе; en - флис
row - ров; en - роу
m.pappas - мпаппас; en - мпаппас
nicki - ники; en - ники
by boris bidjan - би борис бидджан; en - би борис бидджан
crosby derek - cросби дерек; en - кросби дерек
daune - дауне; en - дон
s max - с мах; en - с макс
1901 - 1901; en - 1901
meizer - меизер; en - меизер
rossella - росселла; fra - росселла
oxs - охс; en - оксс
russe - руссе; fra - русс
precious - преcиоус; ger - прекиоус
marte - марте; en - март
di alberta - ди алберта; fra - ди алберта
freud - фреуд; en - фрьюд
delan - делан; en - делан
lazul - лазул; en - лейзуль
sol - сол; en - соль
yohji - йохджи; en - йохджи
mou - моу; ger - моу
adidas originals - адидас оригиналс; en - адидас ориджинальс
keddo - кеддо; en - кеддо
vipe - випе; fra - вип
bellini - беллини; fra - беллини
finamore - финаморе; fra - финамор
army yves - арми ивес; en - арми йвес
santoro - санторо; en - санторо
edit - эдит; en - эдит
resort - ресорт; en - резорт
connexion - cоннехион; en - коннексен
hardy - харди; en - харди
seventy - севенти; en - севенти
giannico - гианниcо; en - джианнико
marlies - марлиес; en - марлис
castaner - cастанер; en - кастейнер
elizabeth and - элизабет анд; en - элизейбес анд
rebel - ребел; en - ребель
kern - керн; en - керн
bobbi - бобби; en - бобби
111skin - 111скин; en - 111скин
prps goods - прпс гоодс; en - прпс гудс
cuddly socks by - cуддли сокс би; en - куддли сокс би
kidorable - кидорабле; en - кидорабл
sara - сара; fra - сара
keti - кети; fra - кети
the fragrance - те фрагранcе; ger - тхе фрагранке
sachin & - сачин; en - сачин
shade by - шаде би; en - шейд би
parma - парма; en - парма
statesman - статесман; en - стейтесмен
harrys of - харрис оф; en - харрис оф
assn. - ассн; en - ассн
paine - паине; en - паин
uncles - унcлес; ger - унклес
out - оут; en - аут
cheap&chic - чеапчиc; ita - кеапкик
tfk the fragrance - тфк те фрагранcе; ger - тфк тхе фрагранке
losani - лосани; fra - лозани
zadig & - задиг; en - зейдиг
m.int - минт; en - минт
& styling - стилинг; en - стилинг
wet - вет; en - вет
franklin & - франклин; en - франклин
oldos - олдос; en - ольдос
fay - фай; en - фей
oozoo - оозоо; en - узоо
saryna - сарина; en - сейрина
tendances - тенданcес; ger - тенданкес
28,5 - 285; en - 285
privee - привее; en - приве
grunge john - грунге джохн; en - грундж джохн
x alexander - х алехандер; en - кс александер
blahnik - блахник; en - блахник
jitrois - джитроис; en - джитроис
rue - руе; en - рю
blas - блас; en - блас
movie - мовие; en - мовай
hotel - хотел; en - хотель
paolo - паоло; en - паоло
morello - морелло; fra - морелло
bob - боб; en - боб
spade - спаде; en - спейд
martina - мартина; en - мартина
edition - эдитион; en - эдишен
simon&scott - симонскотт; en - симонскотт
lilies - лилиес; en - лилис
twenty - твенти; en - твенти
vera - вера; fra - вера
twist - твист; en - твист
aranaz - араназ; en - арейназ
the sleep - те слееп; en - зе слип
ethan - этан; en - эзан
grunge john orchestra - грунге джохн орчестра; en - грундж джохн орчестра
dr.vranjes - дрвранджес; en - дрвранджес
bao bao issey - бао бао иссей; en - бао бао исси
yigal - йигал; en - йигаль
parronchi - паррончи; en - паррончи
meteo - метео; en - мети
avery - авери; en - авери
brigitte - бригитте; fra - брижитт
uomo - уомо; en - уомо
philosophy di alberta - философи ди алберта; fra - филозофи ди алберта
polovi - полови; fra - полови
current/elliott - cуррентеллиотт; en - куррентельлиотт
ultracor - ултраcор; en - ультракор
ysl - исл; en - йсль
annette - аннетте; fra - аннетт
jeune - джеуне; en - джьюн
spade new - спаде нев; en - спейд нью
fonseca - фонсеcа; en - фонсека
yoni - йони; en - йони
mikati - микати; fra - микати
lilibeth of new - лилибет оф нев; en - лилибес оф нью
le jean - ле джеан; fra - ле жеан
barrera - баррера; fra - баррера
kangra - кангра; en - кангра
gross - гросс; en - гросс
148 - 148; en - 148
rich & - рич; en - рич
andré - андрé; ger - андрé
jozica - джозиcа; fra - жозика
belstaff - белстафф; ita - белстафф
a i - а и; en - а и
karakoram - каракорам; en - кейрейкорам
rabe - рабе; fra - раб
sasso - сассо; fra - сассо
annalisa - анналиса; en - аннейлиза
atwood - атвоод; en - атвуд
rubeus - рубеус; en - рюбьюс
marcelo burlon kids - марcело бурлон кидс; en - марсело бурлон кидс
steiger - стеигер; en - стеиджер
jurgen - джурген; en - джурджен
gavazzi - гаваззи; fra - гаваззи
pecora - пеcора; fra - пекора
janson - джансон; en - джансон
save - саве; fra - сав
max&co. - махcо; en - макско
the mood for - те моод фор; en - зе муд фор
school - шоол; ita - скооль
alexandre - алехандре; en - александр
tsum - тсум; en - цум
designs - десигнс; en - дезигнс
lemargo - лемарго; en - лемарго
femme - фемме; en - фемм
agolde - аголде; en - агольд
hoss - хосс; en - хосс
aleksandersiradekian - александерсирадекиан; en - александерсирейдекиан
biosthetique - биостетикве; ger - биоштхетикве
westelite - вестелите; en - вестелит
issey - иссей; en - исси
opening - опенинг; en - опенинг
angela - ангела; en - энджела
anne valerie - анне валерие; en - анн вейлерай
joliena - джолиена; en - джолина
right - ригхт; en - ригт
kingsley - кингслей; en - кингсли
sochi - сочи; en - сочи
egg by susan - эгг би сусан; en - эгг би сюзан
homesys - хомесис; en - хомезис
iq+berlin - икберлин; en - икберлин
simone rocha - симоне роча; fra - симон роша
2men - 2мен; en - 2мен
binda - бинда; en - бинда
blanchett - бланчетт; en - бланчетт
zanini - занини; fra - занини
ya'aqov - яаков; en - йааков
hindmarch - хиндмарч; en - хиндмарч
jupe - джупе; en - джап
sorley - сорлей; en - сорли
ubear - убеар; en - юбир
lisa marie - лиса марие; fra - лиза мари
lupfer - лупфер; en - льапфер
gabriel - габриел; en - габриль
nisearch - нисеарч; en - нисирч
cinemood - cинемоод; en - синемуд
kislis - кислис; en - кислис
antony - антони; en - антони
spotlight - спотлигхт; en - спотлайт
teaspoon - теаспоон; en - тиспун
mugler - муглер; en - муглер
serafini - серафини; fra - серафини
etoile - этоиле; en - этоил
raw + aitor - рав аитор; en - ров аитор
ritz - ритз; ita - ритц
roberi & - робери; fra - робери
primaforma - примаформа; en - примейформа
garcons homme - гарcонс хомме; en - гарконс хомм
saberi - сабери; fra - сабери
ron - рон; en - рон
berwich - бервич; en - бервич
roberta - роберта; en - роберта
rain - раин; en - раин
pinco - пинcо; en - пинко
diana - диана; en - диана
franco - франcо; en - франко
jay - джай; en - джей
latorre - латорре; fra - латорр
barbie - барбие; en - барбай
more & - море; fra - мор
paltinger - палтингер; en - пальтинджер
mind - минд; en - минд
khaite - кхаите; en - каит
silk oil of - силк оил оф; en - сильк оиль оф
cath - cат; en - кас
by marina - би марина; fra - би марина
f.r.s for - фрс фор; en - фрс фор
oleg - олег; en - олег
bagutta - багутта; fra - багутта
artiminesi - артиминеси; en - артиминези
tingley - тинглей; en - тингли
molo - моло; fra - моло
barrie - баррие; fra - барри
pallino - паллино; fra - паллино
a.f.vandevorst - афвандеворст; ita - афвандеворст
sprwmn - спрвмн; en - спрвмн
christina - чристина; en - чристина
estée - эстéе; ger - эштéе
bologna - бологна; en - бологна
barrett - барретт; en - барретт
edited - эдитед; en - эдитед
ricetti - риcетти; fra - рикетти
gem - гем; en - джем
piacenza - пиаcенза; fra - пиакенза
botticelli - боттиcелли; fra - боттикелли
pantherella - пантерелла; en - панзерельла
varley - варлей; en - варли
oleg o - олег о; en - олег о
moka - мока; fra - мока
gerry - герри; en - джерри
